id,date,jersey,total_jumps,jumps_avg,jumps_per_minute,high_intensity_jumps,med_intesnity_jumps,low_intensity_jumps
bc83f44d-fdf4-42a7-a23b-565de107bb9c,12/13/17,4,72,72,0.94782,51,15,6
bc83f44d-fdf4-42a7-a23b-565de107bb9c,12/14/17,4,327,163.5,1.12531,241,56,30
bc83f44d-fdf4-42a7-a23b-565de107bb9c,12/16/17,4,190,190,0.70772,124,51,15
bc83f44d-fdf4-42a7-a23b-565de107bb9c,12/20/17,4,347,347,1.27301,190,140,17
bc83f44d-fdf4-42a7-a23b-565de107bb9c,12/21/17,4,69,69,0.47753,36,26,7
bc83f44d-fdf4-42a7-a23b-565de107bb9c,12/26/17,4,135,135,0.8251,91,29,15
bc83f44d-fdf4-42a7-a23b-565de107bb9c,12/27/17,4,160,160,1.05992,83,42,35
bc83f44d-fdf4-42a7-a23b-565de107bb9c,12/28/17,4,116,116,0.68955,53,41,22
bc83f44d-fdf4-42a7-a23b-565de107bb9c,12/29/17,4,132,132,0.88384,80,34,18
bc83f44d-fdf4-42a7-a23b-565de107bb9c,12/30/17,4,173,173,1.01815,127,23,23
bc83f44d-fdf4-42a7-a23b-565de107bb9c,12/31/17,4,65,65,2.31944,31,32,2
bc83f44d-fdf4-42a7-a23b-565de107bb9c,1/1/18,4,203,203,1.07248,58,92,53
bc83f44d-fdf4-42a7-a23b-565de107bb9c,1/2/18,4,133,133,1.97296,84,36,13
bc83f44d-fdf4-42a7-a23b-565de107bb9c,1/5/18,4,329,164.5,2.25965,235,82,12
bc83f44d-fdf4-42a7-a23b-565de107bb9c,1/8/18,4,147,147,1.12113,72,48,27
bc83f44d-fdf4-42a7-a23b-565de107bb9c,1/10/18,4,187,187,0.97311,104,50,33
bc83f44d-fdf4-42a7-a23b-565de107bb9c,1/12/18,4,150,150,1.29428,80,34,36
bc83f44d-fdf4-42a7-a23b-565de107bb9c,1/13/18,4,364,182,2.1564,168,131,65
bc83f44d-fdf4-42a7-a23b-565de107bb9c,1/16/18,4,207,207,1.14593,90,58,59
bc83f44d-fdf4-42a7-a23b-565de107bb9c,1/17/18,4,159,159,1.06783,76,57,26
bc83f44d-fdf4-42a7-a23b-565de107bb9c,1/19/18,4,0,0,0,0,0,0
bc83f44d-fdf4-42a7-a23b-565de107bb9c,1/20/18,4,16,16,0.4261,2,14,0
bc83f44d-fdf4-42a7-a23b-565de107bb9c,1/22/18,4,146,146,0.96316,74,37,35
bc83f44d-fdf4-42a7-a23b-565de107bb9c,1/23/18,4,261,261,0.9877,117,103,41
bc83f44d-fdf4-42a7-a23b-565de107bb9c,1/26/18,4,93,93,0.69575,41,28,24
bc83f44d-fdf4-42a7-a23b-565de107bb9c,1/27/18,4,194,194,1.49154,61,97,36
bc83f44d-fdf4-42a7-a23b-565de107bb9c,1/28/18,4,92,92,0.79188,48,17,27
bc83f44d-fdf4-42a7-a23b-565de107bb9c,1/29/18,4,132,132,1.33065,65,46,21
bc83f44d-fdf4-42a7-a23b-565de107bb9c,1/31/18,4,35,35,2.58325,2,33,0
bc83f44d-fdf4-42a7-a23b-565de107bb9c,2/1/18,4,424,212,1.85897,226,130,68
bc83f44d-fdf4-42a7-a23b-565de107bb9c,2/3/18,4,149,149,1.25354,73,60,16
bc83f44d-fdf4-42a7-a23b-565de107bb9c,2/4/18,4,141,141,0.90092,37,58,46
bc83f44d-fdf4-42a7-a23b-565de107bb9c,2/5/18,4,273,273,1.805,162,72,39
bc83f44d-fdf4-42a7-a23b-565de107bb9c,2/6/18,4,88,88,0.56158,53,16,19
bc83f44d-fdf4-42a7-a23b-565de107bb9c,2/8/18,4,251,251,1.11979,192,23,36
