id,date,Jersey,total_ima,ima_high_avg,ima_high_total,ima_medium_total,ima_low_total,ima_per_min,ima_accel_high,ima_acel_medium,ima_acel_low,ima_decel_high,ima_decel_medium,ima_decel_low
bc83f44d-fdf4-42a7-a23b-565de107bb9c,02/08/2017 - Vic Law,4,401,13,13,64,324,6.9245,4,5,57,1,18,98
bc83f44d-fdf4-42a7-a23b-565de107bb9c,02/10/2017 - Vic Law,4,689,66,66,127,496,8.01828,5,13,45,18,35,78
bc83f44d-fdf4-42a7-a23b-565de107bb9c,02/11/2017 - Vic Law,4,972,66,66,145,761,6.77416,8,5,55,22,43,163
bc83f44d-fdf4-42a7-a23b-565de107bb9c,02/12/2017 - Vic Law,4,1359,105,105,261,993,8.71157,15,19,88,29,67,224
bc83f44d-fdf4-42a7-a23b-565de107bb9c,02/15/2017 - Vic Law,4,1317,123,123,281,913,7.3989,12,27,82,41,61,224
bc83f44d-fdf4-42a7-a23b-565de107bb9c,02/17/2017 - Vic Law,4,921,40,40,149,732,7.37739,5,10,67,18,38,131
bc83f44d-fdf4-42a7-a23b-565de107bb9c,02/18/2017 - Vic Law,4,1127,112,112,225,790,6.62294,12,27,79,40,60,163
bc83f44d-fdf4-42a7-a23b-565de107bb9c,02/20/2017 - Vic Law,4,827,48,48,152,627,6.44419,2,13,71,17,42,156
bc83f44d-fdf4-42a7-a23b-565de107bb9c,02/21/2017 - Vic Law,4,993,41.5,83,156,754,4.41335,14,26,83,26,49,202
bc83f44d-fdf4-42a7-a23b-565de107bb9c,02/23/2017 - Vic Law,4,1231,133,133,247,851,8.49265,27,31,116,35,59,182
bc83f44d-fdf4-42a7-a23b-565de107bb9c,02/24/2017 - Vic Law,4,767,47,47,138,582,6.94146,5,10,53,21,42,138
bc83f44d-fdf4-42a7-a23b-565de107bb9c,02/25/2017 - Vic Law,4,1568,65.5,131,327,1110,6.92531,16,28,132,53,118,278
bc83f44d-fdf4-42a7-a23b-565de107bb9c,02/27/2017 - Vic Law,4,1362,93,93,237,1032,9.19282,7,18,69,35,51,209
bc83f44d-fdf4-42a7-a23b-565de107bb9c,02/28/2017 - Vic Law,4,900,47,47,167,686,6.17503,0,11,79,22,53,135
bc83f44d-fdf4-42a7-a23b-565de107bb9c,03/01/2017 - Vic Law,4,1435,136,136,249,1050,8.34305,19,10,119,42,77,229
bc83f44d-fdf4-42a7-a23b-565de107bb9c,03/03/2017 - Vic Law,4,1023,58,58,196,769,7.59645,9,13,78,16,70,155
bc83f44d-fdf4-42a7-a23b-565de107bb9c,03/04/2017 - Vic Law,4,800,66,66,142,592,6.76518,9,11,59,21,42,142
bc83f44d-fdf4-42a7-a23b-565de107bb9c,03/05/2017 - Vic Law,4,1264,95,95,261,908,7.40844,12,15,91,40,89,234
bc83f44d-fdf4-42a7-a23b-565de107bb9c,03/07/2017 - Vic Law,4,645,62,62,104,479,4.3,7,6,48,25,33,107
bc83f44d-fdf4-42a7-a23b-565de107bb9c,03/08/2017 - Vic Law,4,849,64,64,146,639,6.98774,5,11,53,28,47,158
bc83f44d-fdf4-42a7-a23b-565de107bb9c,03/09/2017 - Vic Law,4,1133,46,92,214,827,6.10674,7,14,84,39,56,151
bc83f44d-fdf4-42a7-a23b-565de107bb9c,03/10/2017 - Vic Law,4,963,71,71,199,693,7.70401,9,15,71,24,41,145
bc83f44d-fdf4-42a7-a23b-565de107bb9c,03/11/2017 - Vic Law,4,1022,98,98,188,736,9.46298,15,17,77,28,55,120
bc83f44d-fdf4-42a7-a23b-565de107bb9c,03/13/2017 - Vic Law,4,718,56,56,111,551,5.48094,9,10,50,10,32,94
bc83f44d-fdf4-42a7-a23b-565de107bb9c,03/14/2017 - Vic Law,4,991,61,61,163,767,7.992,5,17,77,21,38,141
bc83f44d-fdf4-42a7-a23b-565de107bb9c,03/15/2017 - Vic Law,4,581,26,26,86,469,5.61359,1,6,40,14,36,101
bc83f44d-fdf4-42a7-a23b-565de107bb9c,03/16/2017 - Vic Law,4,1050,79,79,200,771,8.20314,10,13,80,31,63,159
bc83f44d-fdf4-42a7-a23b-565de107bb9c,03/17/2017 - Vic Law,4,528,28,28,96,404,5.77055,3,7,34,12,45,82
bc83f44d-fdf4-42a7-a23b-565de107bb9c,03/18/2017 - Vic Law,4,1378,121,121,296,961,8.63952,16,25,105,44,102,211
bc83f44d-fdf4-42a7-a23b-565de107bb9c,04/18/2017 - Vic Law,4,571,45,45,121,405,3.66417,7,13,65,21,43,101
bc83f44d-fdf4-42a7-a23b-565de107bb9c,04/20/2017 - Vic Law,4,615,47,47,96,472,5.70413,9,11,90,14,39,124
bc83f44d-fdf4-42a7-a23b-565de107bb9c,04/24/2017 - Vic Law,4,488,39,39,100,349,3.6655,9,10,52,13,33,86
bc83f44d-fdf4-42a7-a23b-565de107bb9c,04/27/2017 - Vic Law,4,659,62,62,123,474,7.06324,17,23,101,12,32,94
bc83f44d-fdf4-42a7-a23b-565de107bb9c,05/02/2017 - Vic Law,4,474,59,59,96,319,9.10955,7,19,80,19,20,71
bc83f44d-fdf4-42a7-a23b-565de107bb9c,05/09/2017 - Vic Law,4,672,66,66,143,463,3.58559,15,12,67,21,40,104
bc83f44d-fdf4-42a7-a23b-565de107bb9c,05/11/2017 - Vic Law,4,766,77,77,151,538,1.93777,22,13,65,14,41,111
