period,season,date,game,win_loss,score,team_score,total_player_load,avg_load_against_opp
In Season,2017-18,2/16/2018,null,null,null,null,4482.80424,null
In Season,2017-18,2/17/2018,Michigan State,Loss,L65-60,60,6075.1203,6072.453255
In Season,2017-18,2/19/2018,Maryland(2),Loss,L71-64,64,5158.78662,5158.78662
In Season,2017-18,2/20/2018,null,null,null,null,52.17839,null
In Season,2017-18,2/21/2018,null,null,null,null,1348.19575,null
In Season,2017-18,2/22/2018,null,null,null,null,6058.77983,null
In Season,2017-18,2/24/2018,null,null,null,null,3115.48221,null
In Season,2017-18,2/25/2018,Iowa,Loss,L77-70,70,5917.94872,5917.94872
In Season,2017-18,2/27/2018,null,null,null,null,3577.5876,null
In Season,2017-18,2/28/2018,null,null,null,null,4188.05991,null
In Season,2017-18,3/1/2018,Penn State(3),Loss,L65-57,57,6479.61536,7324.11356
